POP,MLID,REP,TRT,TAGID,ID,LeafArea,Length,Branched,Single,Capitate,Peltate,BHeight,BLeaf,Imaged,Height,TotalLeafCount,LeafDamage,PerDamage,Alive,Flower #,Pod #,Biomass,Survival
5,42,2,0,5.42.2.1,172,16.347,8625.529,16,12,11,24,7.6,8,X,14.5,8,0,0,n,2,3,0.57,1
7,51,2,0,,181,19.987,6053.157,4,16,12,22,,,,,,,,,,,,
7,53,2,0,7.53.2.1,183,13.745,4655.432,11,16,16,23,5.5,10,,6.8,7,0,0,n,3,1,0.42,1
8,59,2,0,8.59.2.1,189,16.388,5838.405,8,6,7,10,7.4,7,X,10,6,0,0,n,1,2,0.58,1
8,62,2,0,8.62.2.1,192,25.241,10370.406,6,4,4,12,6,7,,7.5,6,0,0,n,1,0,0.49,1
8,66,2,0,8.66.2.1,196,20.721,12550.521,9,2,6,27,5.6,10,,10,9,0,0,n,4,0,1.15,1
8,67,2,0,8.67.2.1,197,15.093,3236.524,2,8,6,16,7.2,8,,8.5,7,1,0,n,0,0,0.38,1
8,68,2,0,8.68.2.1,198,17.7,6980.664,12,13,9,33,6.9,6,X,12.5,6,0,0,n,1,1,0.59,1
8,71,2,0,,201,24.963,4731.896,6,15,6,14,,,,,,,,,,,,
8,72,2,0,8.72.2.1,202,16.631,9423.075,9,18,16,30,5.9,8,X,7,6,1,0,n,3,0,0.3,1
8,75,2,0,8.75.2.1,205,23.307,7137.269,10,19,10,42,6.4,9,X,9,6,4,0,n,2,0,0.86,1
8,77,2,0,8.77.2.1,207,14.945,20279.647,4,2,5,5,3,3,X,4,6,0,0,n,0,0,0.17,1
8,78,2,0,8.78.2.1,208,,,,,,,6.3,9,,7.5,5,0,0,n,2,1,0.3,1
8,79,2,0,8.79.2.1,209,27.09,6461.13,6,5,8,59,6.6,8,,9,8,0,0,n,2,0,0.24,1
8,80,2,0,8.80.2.1,210,16.942,3805.164,2,9,6,28,7.8,10,X,8,7,0,0,n,3,0,0.37,1
8,82,2,0,8.82.2.1,212,,,,,,,7.6,7,,12,6,0,0,n,3,2,0.28,1
8,84,2,0,8.84.2.1,214,1.557,3945.47,5,7,5,3,1.9,5,,2,2,0,0,n,0,0,0.01,1
8,85,2,0,,215,33.094,3768.523,2,5,5,10,,,,,,,,,,,,
11,110,2,0,,240,19.924,8698.224,3,3,6,31,,,,,,,,,,,,
11,117,2,0,,247,16.195,16899.914,5,2,5,12,,,,,,,,,,,,
11,120,2,0,,250,12.908,6130.374,7,7,6,14,,,,,,,,,,,,
11,130,2,0,,260,19.765,1949.411,2,1,5,8,,,,,,,,,,,,
1,2,3,0,1.2.3.1,262,17.599,,,,,,5.1,6,,6.5,6,0,0,n,,,0.45,1
3,7,3,0,3.7.3.1,267,37.991,2964.07,3,9,7,10,9.7,9,X,12,6,1,0,n,2,0,0.52,1
3,11,3,0,3.11.3.1,271,12.142,4578.037,10,4,11,7,2.5,7,X,5.5,6,1,0,n,4,0,0.35,1
3,20,3,0,3.20.3.1,280,9.973,3854.595,5,7,2,17,5.3,5,,7,5,0,0,n,4,0,0.23,1
3,28,3,0,3.28.3.1,288,8.465,11721.943,4,4,4,1,5.5,5,X,5.8,7,2,0,n,0,0,0.13,1
3,29,3,0,3.29.3.1,289,19.139,65226.572,5,7,7,4,4.2,8,X,7.8,9,0,0,n,2,0,0.54,1
3,30,3,0,3.30.3.1,290,29.651,5399.279,8,12,8,14,5.4,9,X,9,8,0,0,n,5,0,0.58,1
4,33,3,0,4.33.3.1,293,20.399,5902.637,4,17,11,20,6,8,X,9,4,4,0,n,1,2,0.87,1
4,34,3,0,4.34.3.1,294,32.698,4007.022,9,9,8,14,6.4,6,X,12,6,0,0,n,3,2,0.47,1
4,36,3,0,4.36.3.1,296,24.439,16553.114,4,9,11,2,6.5,7,,11,7,0,0,n,1,0,0.71,1
4,38,3,0,4.38.3.1,298,20.678,5464.087,4,9,8,57,7.7,8,,11,7,0,0,n,1,2,0.81,1
5,42,3,0,5.42.3.1,302,11.541,3997.486,9,2,7,8,5.2,8,,9,7,0,0,n,3,0,0.69,1
5,43,3,0,5.43.3.1,303,19.254,5417.188,7,13,10,20,6.1,8,X,7,4,0,0,n,2,0,0.37,1
5,44,3,0,,304,13.551,6666.492,4,11,6,14,,,,,,,,,,,,
7,53,3,0,7.53.3.1,313,28.959,7369.822,12,14,14,18,6.9,9,X,15.5,5,0,0,n,3,2,0.68,1
7,54,3,0,7.54.3.1,314,,6099.007,9,17,9,7,,,,,,,,,,,,
7,56,3,0,7.56.3.1,316,20.063,6099.007,4,30,6,20,5.9,9,,9,6,0,0,n,3,1,0.59,1
8,57,3,0,8.57.3.1,317,16.014,9494.541,12,42,13,,10,6,,14,6,0,0,n,2,1,0.38,1
8,59,3,0,8.59.3.1,319,9.893,,,,,,8.1,9,,17,6,0,0,n,2,2,1,1
8,60,3,0,8.60.3.1,320,26.473,3353.536,3,10,4,23,6.5,7,X,13.5,7,0,0,n,2,1,0.85,1
8,61,3,0,8.61.3.1,321,23.351,,,,,,6.1,8,,13.5,6,0,0,n,4,0,0.95,1
8,66,3,0,8.66.3.1,326,27.013,4025.417,5,4,8,28,6.2,7,X,11,5,0,0,n,1,2,0.99,1
8,67,3,0,8.67.3.1,327,5.283,,,,,,5.9,6,,6.5,6,0,0,n,0,0,0.15,1
8,68,3,0,8.68.3.1,328,19.682,7375.539,10,6,15,22,6.1,5,X,12.5,7,2,0,n,2,2,0.76,1
8,69,3,0,8.69.3.1,329,13.325,3418.361,3,2,6,17,2.6,6,X,2.5,8,0,0,n,0,0,0.44,1
8,72,3,0,8.72.3.1,332,25.801,5847.724,2,16,7,14,4.6,8,X,9.5,8,0,0,n,3,0,0.54,1
8,75,3,0,8.75.3.1,335,20.376,,3,13,12,71,5.8,7,x,8.5,7,1,0,n,3,0,0.38,1
8,77,3,0,8.77.3.1,337,16.593,3171.919,5,6,8,30,6.5,5,,8,9,0,0,n,3,1,0.27,1
8,78,3,0,8.78.3.1,338,18.369,6842.695,5,12,10,12,6.4,9,X,13,8,0,0,n,3,0,0.49,1
8,79,3,0,8.79.3.1,339,13.68,6350.643,5,22,9,3,5.4,9,X,12,7,3,0,n,3,0,0.5,1
8,80,3,0,8.80.3.1,340,13.551,6350.643,5,9,7,14,7.1,6,X,16,6,0,0,n,1,2,0.41,1
9,96,3,0,9.96.3.1,355,,7030.62,10,9,8,23,,,,,,,,,,,,
11,110,3,0,11.110.3.1,368,,5050.146,6,5,8,29,,,,,,,,,,,,
11,115,3,0,11.115.3.1,373,,6350.643,5,2,5,17,,,,,,,,,,,,
11,119,3,0,11.119.3.1,377,,4261.892,4,9,9,23,,,,,,,,,,,,
11,128,3,0,11.128.3.1,386,,3048.467,3,6,4,15,,,,,,,,,,,,
2,5,4,0,2.5.4.1,393,18.188,3547.094,3,6,9,19,7,"6, 5",X,8.5,6-Jan,0,0,n,0,0,0.54,1
3,9,4,0,3.9.4.1,397,13.752,7674.195,13,15,5,5,7.2,9,X,9.5,7,0,0,n,3,0,0.29,1
3,14,4,0,3.14.4.1,402,26.356,,,,,,5.2,9,,9.5,8,0,0,n,0,0,0.63,1
3,16,4,0,3.16.4.1,404,21.858,4523.823,3,11,7,14,4.3,5,X,5.5,8,0,0,n,0,0,0.44,1
3,20,4,0,3.20.4.1,408,15.139,5376.691,4,8,8,1,4.9,7,X,10,8,0,0,n,0,0,0.41,1
4,33,4,0,4.33.4.1,421,24.014,6380.012,9,14,13,43,6.9,6,X,12,6,0,0,n,0,1,0.61,1
4,34,4,0,4.34.4.1,422,18.893,8936.473,11,14,15,14,6.1,8,X,,,,,n,,,0.44,1
4,35,4,0,4.35.4.1,423,20.078,15841.883,30,32,14,2,11.3,7,X,23,6,0,0,n,1,1,0.65,1
4,36,4,0,4.36.4.1,424,,,,,,,8.5,6,,12,4,0,0,n,1,1,0.37,1
4,37,4,0,4.37.4.1,425,12.32,6535.895,10,14,8,3,6.6,8,X,8.5,5,0,0,n,1,3,0.78,1
4,38,4,0,,426,35.913,4666.483,3,11,10,13,,,,,,,,,,,,
5,43,4,0,5.43.4.1,431,18.049,4982.387,4,6,9,84,4.6,9,X,8,7,0,0,n,4,0,0.59,1
6,46,4,0,,434,25.704,6080.63,1,12,9,13,,,,,,,,,,,,
7,51,4,0,,438,23.653,4786.938,8,13,11,22,,,,,,,,,,,,
7,53,4,0,7.53.4.1,440,16.171,4403.282,2,2,4,10,3.8,8,X,8,9,0,0,n,,,0.39,1
7,54,4,0,,441,12.832,9145.934,8,4,4,11,,,,,,,,,,,,
8,57,4,0,8.57.4.1,443,21.555,,,,,,4.6,5,x,12,7,0,0,n,3,0,0.74,1
8,58,4,0,8.58.4.1,444,16.156,,,,,,6.8,9,X,13,7,0,0,n,1,1,0.54,1
8,60,4,0,8.60.4.1,446,15.365,10828.3,21,25,12,16,12.6,6,X,19,5,0,0,n,0,2,0.4,1
8,66,4,0,8.66.4.1,452,21.127,7906.978,7,17,6,29,6.9,7,X,11.5,6,3,0,n,4,1,0.59,1
8,68,4,0,8.68.4.1,454,15.004,15412.637,2,19,4,18,5.4,6,X,12.5,9,0,0,n,3,0,0.52,1
8,73,4,0,8.73.4.1,459,26.582,7730.582,7,10,10,5,6.8,7,X,12,9,0,0,n,2,1,0.88,1
8,77,4,0,8.77.4.1,463,9.764,9845.875,11,5,12,16,6.1,6,,16,6,0,0,n,3,1,0.68,1
8,78,4,0,8.78.4.1,464,,,,,,,6.6,8,,12,6,0,0,n,1,2,0.34,1
8,80,4,0,8.80.4.1,466,30.143,4686.805,5,12,8,13,6.6,6,X,11,6,0,0,n,3,0,0.54,1
8,82,4,0,8.82.4.1,468,33.113,2501.848,6,7,7,22,6.8,6,,10,6,0,0,n,3,0,0.53,1
11,110,4,0,,492,15.822,5935.365,3,1,2,15,,,,,,,,,,,,
11,115,4,0,,497,13.686,5012.901,10,4,6,29,,,,,,,,,,,,
11,119,4,0,,501,23.54,5644.135,9,7,8,12,,,,,,,,,,,,
11,120,4,0,,502,17.369,4809.793,6,6,9,19,,,,,,,,,,,,
11,125,4,0,,507,19.621,7112.312,2,5,6,39,,,,,,,,,,,,
11,128,4,0,,510,19.54,7595.627,6,15,15,16,,,,,,,,,,,,
11,ML,4,0,,512,23.317,3179.01,2,9,6,11,,,,,,,,,,,,
1,2,1,550,1.2.1.2,514,,,,,,,,,,10.1,5,5,1,n,1,0,0.4,1
2,6,1,550,2.6.1.2,518,,,,,,,,,,12.5,6,4,0.66666667,n,1,had one fall off,0.46,1
3,7,1,550,3.7.1.2,519,,,,,,,,,,0,0,0,,y,0,0,0,0
3,8,1,550,3.8.1.2,520,,,,,,,,,,4.5,4,1,0.25,n,0,0,0.55,1
3,9,1,550,3.9.1.2,521,,,,,,,,,,4.7,4,3,0.75,n,0,0,0,0
3,12,1,550,3.12.1.2,524,,,,,,,,,,10.1,6,3,0.5,n,0,0,0.99,1
3,13,1,550,3.13.1.2,525,,,,,,,,,,9.3,6,5,0.83333333,n,0,0,0.43,1
3,16,1,550,3.16.1.2,528,,,,,,,,,,,,,1,,,,0,0
3,19,1,550,3.19.1.2,531,,,,,,,,,,7.2,5,2,0.4,n,0,0,0.67,1
3,22,1,550,3.22.1.2,534,,,,,,,,,,8.1,3,2,0.66666667,n,0,0,0.68,1
3,23,1,550,3.23.1.2,535,,,,,,,,,,,,,1,,,,0,0
3,27,1,550,3.27.1.2,539,,,,,,,,,,9.1,4,3,0.75,n,0,0,0.46,1
3,28,1,550,3.28.1.2,540,,,,,,,,,,4.5,7,4,0.57142857,n,0,0,0,0
3,29,1,550,3.29.1.2,541,,,,,,,,,,8.3,6,6,1,n,0,0,0.17,1
4,33,1,550,4.33.1.2,545,,,,,,,,,,11,3,2,0.66666667,n,0,0,0.47,1
4,34,1,550,4.34.1.2,546,,,,,,,,,,12,8,4,0.5,n,0,0,0.74,1
4,35,1,550,4.35.1.2,547,,,,,,,,,,8,4,4,1,n,1,0,0.77,1
4,36,1,550,4.36.1.2,548,,,,,,,,,,14.5,6,3,0.5,n,0,0,0.81,1
4,37,1,550,4.37.1.2,549,,,,,,,,,,13.8,6,4,0.66666667,n,0,0,0.7,1
4,38,1,550,4.38.1.2,550,,,,,,,,,,7.5,3,3,1,n,0,0,0.57,1
5,40,1,550,5.40.1.2,552,,,,,,,,,,1.3,6,3,0.5,n,0,0,0,0
5,41,1,550,5.41.1.2,553,,,,,,,,,,10.4,4,2,0.5,n,1,0,0.74,1
5,43,1,550,5.43.1.2,555,,,,,,,,,,5.1,6,6,1,n,0,0,0,0
7,53,1,550,7.53.1.2,565,,,,,,,,,,6,3,2,0.66666667,n,0,0,0.44,1
8,59,1,550,8.59.1.2,571,,,,,,,,,,11.5,7,5,0.71428571,n,1,0,0.59,1
8,60,1,550,8.60.1.2,572,,,,,,,,,,7,4,2,0.5,n,0,0,0.49,1
8,61,1,550,8.61.1.2,573,,,,,,,,,,8.5,6,2,0.33333333,n,0,0,0.91,1
8,68,1,550,8.68.1.2,580,,,,,,,,,,8.1,4,3,0.75,n,0,0,0.2,1
8,73,1,550,8.73.1.2,585,,,,,,,,,,6.8,7,7,1,n,0,0,0.08,1
8,74,1,550,8.74.1.2,586,,,,,,,,,,7,5,3,0.6,n,0,0,0,0
8,75,1,550,8.75.1.2,587,,,,,,,,,,6.5,5,3,0.6,n,0,0,0.48,1
8,77,1,550,8.77.1.2,589,,,,,,,,,,10.5,4,4,1,n,0,0,0.95,1
8,80,1,550,8.80.1.2,592,,,,,,,,,,12.2,6,5,0.83333333,n,1,0,0,0
8,82,1,550,8.82.1.2,594,,,,,,,,,,8,7,2,0.28571429,n,0,0,0.45,1
1,1,2,550,1.1.2.2,643,,,,,,,,,,5.6,6,2,0.33333333,n,0,0,0.43,1
1,4,2,550,1.4.2.2,646,,,,,,,,,,9,7,4,0.57142857,n,0,0,0.87,1
2,5,2,550,2.5.2.2,647,,,,,,,,,,8,4,2,0.5,n,1,0,0.64,1
3,13,2,550,3.13.2.2,655,,,,,,,,,,8,9,9,1,n,0,0,0,0
3,22,2,550,3.22.2.2,664,,,,,,,,,,6.2,7,3,0.42857143,n,0,0,0.23,1
3,23,2,550,3.23.2.2,665,,,,,,,,,,6.5,5,1,0.2,n,0,0,0.41,1
3,27,2,550,3.27.2.2,669,,,,,,,,,,9,4,1,0.25,n,0,0,0.68,1
3,30,2,550,3.30.2.2,672,,,,,,,,,,,,,1,,,,0,0
4,33,2,550,4.33.2.2,675,,,,,,,,,,13.1,4,3,0.75,n,2,0,1.6,1
4,34,2,550,4.34.2.2,676,,,,,,,,,,10.5,5,1,0.2,n,0,0,0.93,1
4,36,2,550,4.36.2.2,678,,,,,,,,,,10.3,4,2,0.5,n,0,0,0.68,1
4,37,2,550,4.37.2.2,679,,,,,,,,,,11.5,7,4,0.57142857,n,0,0,1.49,1
4,38,2,550,4.38.2.2,680,,,,,,,,,,9,7,2,0.28571429,n,0,0,0.82,1
7,56,2,550,7.56.2.2,698,,,,,,,,,,7.8,4,3,0.75,n,2,0,0.26,1
8,60,2,550,8.60.2.2,702,,,,,,,,,,9,6,5,0.83333333,n,0,0,0,0
8,61,2,550,8.61.2.2,703,,,,,,,,,,5,6,4,0.66666667,n,0,0,0,0
