ID,FinalHeight,Flower,FlowerDate,Capsule Count,POP,ML,BLK,Row,ConsumedBefore,Consumption_,Consumption,ID,Capitate,Single,Branched,Peltate,Length,FinalHeight,Seed Count,TRT,TAGID,Height1,Leaf1,Leaf2,HerbDamage1,PerDamage1,Height3,Leaf3,HerbDamage2,PerDamage2,Environment
722,142,22,4-Aug,112,3,15,3,8,0.0348,0.03705,0.093666666,722,NA,NA,NA,NA,NA,142,4480,0,T2_B3_15,,,8,NA,NA,,,NA,NA,1
810,0,,,,3,15,3,9,0.0348,0.0348,0.1485,810,NA,NA,NA,NA,NA,0,0,0,T2_B3_15,14,4,5,NA,NA,,,NA,NA,1
927,161,,5-Aug,187,3,15,3,10,0.0348,0.042466667,0,927,NA,NA,NA,NA,NA,161,7480,0,T3_B3_15,21.7,8,10,NA,NA,43,13,NA,NA,1
25,73,3,12-Aug,5,3,16,1,1,0.018333333,0.024333333,0.024333333,25,NA,NA,NA,NA,NA,73,200,0,T1_B1_16,7.8,6,5,NA,NA,23.5,7,NA,NA,1
44,60,4,10-Aug,4,3,16,1,1,0.018333333,0.018333333,0.018333333,44,NA,NA,NA,NA,NA,60,160,0,T2_B1_16,6.7,6,7,NA,NA,24.4,7,NA,NA,1
147,36,0,,1,3,16,1,2,0.018333333,0.018333333,0.018333333,147,NA,NA,NA,NA,NA,36,40,0,T2_B1_16,6.8,6,6,NA,NA,15.7,5,NA,NA,1
315,,,,68,3,16,2,4,,0,0,315,NA,NA,NA,NA,NA,,2720,0,T2_B1_16,,,,NA,NA,,,NA,NA,1
317,107,8,8-Aug,,3,16,2,4,0.018333333,0,0.022333333,317,NA,NA,NA,NA,NA,107,816,0,T2_B1_16,10.3,5,7,NA,NA,30.4,5,NA,NA,1
321,101,12,7-Aug,23,3,16,2,4,0.018333333,0,0.018333333,321,NA,NA,NA,NA,NA,101,920,0,T3_B1_16,14.5,5,6,NA,NA,40.4,9,NA,NA,1
689,53,0,,4,3,16,2,7,0.018333333,0,0.212333333,689,NA,NA,NA,NA,NA,53,160,0,T3_B2_16,,,5,NA,NA,23,5,NA,NA,1
721,130,19,4-Aug,101,3,16,3,8,0.018333333,0.093666666,0.068333333,721,NA,NA,NA,NA,NA,130,4040,0,T2_B3_16,,,8,NA,NA,61,9,NA,NA,1
921,41,,29-Aug,22,3,16,3,10,0.018333333,0.024333333,0.056666667,921,NA,NA,NA,NA,NA,41,880,0,T2_B3_16,11.8,5,6,NA,NA,19,3,NA,NA,1
961,89,,22-Aug,96,3,16,3,10,0.018333333,0,0.071833333,961,NA,NA,NA,NA,NA,89,3840,0,T2_B3_16,,,7,NA,NA,29.2,8,NA,NA,1
616,172,10,8-Aug,167,3,19,2,7,,0.004,0.022,616,4,185,33,21,34016.009,172,6680,0,T3_B2_19,,,10,NA,NA,72.4,12,NA,NA,1
499,153,36,2-Aug,,3,19,2,5,,0,0.0348,499,6,33,78,10,43671.41,153,170,0,T3_B2_19,,,,NA,NA,,,NA,NA,1
683,129,13,5-Aug,54,3,19,2,7,,0,0.022333333,683,11,51,49,8,24948.855,129,2160,0,T3_B2_19,,,9,NA,NA,60,10,NA,NA,1
58,109,13,4-Aug,26,3,19,1,1,,0,0,58,NA,NA,NA,NA,NA,109,1040,0,T1_B1_19,12.3,8,9,NA,NA,46.7,8,NA,NA,1
207,54,0,22-Aug,2,3,19,1,3,,0,0,207,NA,NA,NA,NA,NA,54,80,0,T2_B1_19,,,5,NA,NA,10.3,5,NA,NA,1
243,33,0,27-Aug,2,3,19,1,3,,0,0,243,NA,NA,NA,NA,NA,33,80,0,T3_B1_19,16.5,5,5,NA,NA,20,4,NA,NA,1
573,105,3,11-Aug,88,3,19,2,6,,0.038333333,0.484666666,573,NA,NA,NA,NA,NA,105,3520,0,T1_B2_19,,,9,NA,NA,40,8,NA,NA,1
727,84,0,21-Aug,14,3,19,3,8,,0,0.01375,727,NA,NA,NA,NA,NA,84,560,0,T2_B3_19,,,6,NA,NA,32.5,6,NA,NA,1
818,137,,4-Aug,45,3,19,3,9,,0,0.004,818,NA,NA,NA,NA,NA,137,1800,0,T2_B3_19,12,7,9,NA,NA,36.5,10,NA,NA,1
859,120,,19-Aug,77,3,19,3,9,,0,0.004,859,NA,NA,NA,NA,NA,120,3080,0,T2_B3_19,9,7,9,NA,NA,44,9,NA,NA,1
934,130,,7-Aug,127,3,19,3,10,,0,0.0035,934,NA,NA,NA,NA,NA,130,5080,0,T2_B3_19,16.5,5,8,NA,NA,41,11,NA,NA,1
967,151,,5-Aug,162,3,23,3,10,0.1715,0.1845,0.087444444,967,NA,NA,NA,NA,NA,151,6480,0,T2_B3_23,25.5,7,11,NA,NA,67,17,NA,NA,1
617,179,20,11-Aug,172,3,24,2,7,0.022333333,0.096761904,0.004,617,3,68,58,17,30510.255,179,6880,0,T3_B2_24,,,12,NA,NA,92.3,37,NA,NA,1
